Node,Community,Name
279,0.0,T_18116_8_1
280,0.0,T_18116_9_1_soma_in_SC
281,0.0,T_150304_1_2
282,0.0,T_150304_1_2b
283,0.0,T_150304_1_3
284,4.0,T_150304_2_1_a
285,4.0,T_150304_2_1_b
286,4.0,T_150304_2_1_c
287,1.0,T_150304_2_3_a
288,0.0,T_150304_2_3_d
289,0.0,T_150304_2_4
290,0.0,T_150304_4_1
291,1.0,T_150304_4_2
292,1.0,T_150304_4_3
293,0.0,T_150317_1_1_full_tracing
294,5.0,T_150317_2_1_full_tracing
295,1.0,T_150317_2_2_full_tracing
296,2.0,T_150317_2_2b_full_tracing
297,0.0,T_150317_3_1_full_tracing
298,2.0,T_150317_4_1_full_tracing
299,2.0,T_150317_5_2_full_tracing
300,1.0,T_150324_fixed_1_2_full_tracing
301,0.0,T_150324_fixed_1_3_full_tracing
302,1.0,T_150324_fixed_2_2_full_tracing
303,4.0,T_150324_fixed_2_3_full_tracing
304,3.0,T_150324_fixed_2_4_full_tracing
305,4.0,T_150324_fixed_2_5_full_tracing
306,4.0,T_150324_fixed_3_2_full_tracing
307,5.0,T_150324_fixed_4_1_full_tracing
308,4.0,T_150324_fixed_4_2_full_tracing
309,2.0,T_150324_fixed_4_3_full_tracing
310,0.0,T_150324_fixed_4_5_full_tracing
311,0.0,T_150324_fixed_5_2_full_tracing
312,5.0,T_150324_fixed_5_3_full_tracing
313,2.0,T_150324_fixed_8_1a_full_tracing
314,1.0,T_150324_fixed_8_1b_full_tracing
315,4.0,T_150324_fixed_9_2_full_tracing
316,4.0,T_150324_fixed_10_2_full_tracing
317,1.0,T_150324_fixed_11_2_full_tracing
318,4.0,T_150324_fixed_11_3a_full_tracing
319,0.0,T_150324_fixed_12_3_full_tracing
320,0.0,T_150324_fixed_12_4_full_tracing
321,0.0,T_150324_fixed_13_1_full_tracing
322,3.0,T_150324_fixed_13_1c_full_tracing
323,0.0,T_150324_fixed_14_1_full_tracing
324,4.0,T_150324_fixed_14_2_full_tracing
325,3.0,T_150324_fixed_15_1_full_tracing
326,5.0,T_150324_fixed_16_1_full_tracing
327,0.0,T_150324_fixed_16_2_full_tracing
328,4.0,T_150324_fixed_16_3_full_tracing
329,0.0,T_150324_fixed_16_4_full_tracing
330,0.0,T_150324_fixed_17_1a_full_tracing
331,0.0,T_150324_fixed_19_1_full_tracing
332,2.0,T_150324_fixed_19_2a_full_tracing
333,4.0,T_150324_fixed_20_1_full_tracing
334,0.0,T_150324_fixed_20_2_full_tracing
335,3.0,T_150324_fixed_21_2_full_tracing
336,1.0,T_150407_5_1_full_tracing
337,5.0,T_150407_5_2_full_tracing
338,0.0,T_150407_6_1_full_tracing
339,2.0,T_150407_7_1_full_tracing
340,0.0,T_150407_7_2_full_tracing
341,1.0,T_150407_8_1_full_tracing
342,5.0,T_150407_8_2_full_tracing
343,0.0,T_150407_8_3_full_tracing
344,0.0,T_150407_12_2_full_tracing
345,0.0,T_150508_fixed_55m_1_1_full_tracing
