Node,Community,Name
2169,3.0,T_190115_13_1
2170,1.0,T_190115_13_2
2174,3.0,T_190115_15_1
2175,2.0,T_190115_16_1
2177,2.0,T_190115_17_2
2194,3.0,T_190115_24_5
2197,2.0,T_190115_25_2
2198,2.0,T_190121_1_1
2202,3.0,T_190121_3_2
2208,2.0,T_190121_4_1
2211,0.0,T_190121_5_1
2216,2.0,T_190121_8_2
2221,1.0,T_190121_9_3
2246,1.0,T_190121_20_1
2253,4.0,T_190125_0_2
2257,2.0,T_190125_1_1
2265,4.0,T_190125_3_3
2272,0.0,T_190125_6_1
2273,2.0,T_190125_6_2
2274,3.0,T_190125_6_3
2287,0.0,T_190125_8_7
2295,4.0,T_190125_9_4
2297,1.0,T_190125_9_6
2305,3.0,T_190125_11_2
2307,2.0,T_190125_12_2
2310,4.0,T_190125_12_5
2312,3.0,T_190125_13_1
2332,2.0,T_190131_1_2
2336,2.0,T_190131_2_3
2340,0.0,T_190131_5_2
2343,4.0,T_190131_8_3
2349,0.0,T_190131_9_4
2353,3.0,T_190131_10_3
2360,3.0,T_190131_13_1
2364,4.0,T_190131_14_4
2445,1.0,T_190220_1026xBG_7_1
2489,3.0,T_190312_4_1_corrected
2497,1.0,T_190312_13_1
2499,1.0,T_190401_0_1
2500,1.0,T_190401_0_2
2516,3.0,T_190401_6_3
2517,3.0,T_190401_6_4
2526,4.0,T_190405_0_1
2546,3.0,T_190405_13_1
2560,2.0,T_190426_1181xBG_1_1
2572,3.0,T_190426_1181xBG_8_1
2593,2.0,T_190523_9_4
2601,2.0,T_190527_1181xBG_3_1
2605,2.0,T_190527_1181xBG_4_4
2615,3.0,T_190527_1181xBG_12_3
2616,2.0,T_190527_1181xBG_12_4
2623,3.0,T_190527_1181xBG_17_5
2648,4.0,T_190531_11_5
2652,0.0,T_190531_12_4
2653,2.0,T_190531_12_5
2659,0.0,T_190613_1181xBG_1_1
2660,0.0,T_190613_1181xBG_2_1
2665,2.0,T_190613_1181xBG_5_2
2667,1.0,T_190613_1181xBG_5_4
2668,3.0,T_190613_1181xBG_5_5
2669,1.0,T_190613_1181xBG_10_1
2672,1.0,T_190613_1181xBG_12_3
2688,2.0,T_190626_5_1_M
2696,3.0,T_190626_11_2
2704,2.0,T_190702_317xBG_3_2_M
2723,0.0,T_190702_317xBG_17_3
2752,3.0,T_190718_2_1
2765,2.0,T_190718_13_1
2788,3.0,T_190723_1_2
2820,1.0,T_190812_0_2
2823,0.0,T_190812_3_1
2825,0.0,T_190812_6_1
2827,1.0,T_190812_7_1
2830,4.0,T_190812_10_1
2847,4.0,T_190909_0_3
2852,2.0,T_190909_3_4
2856,1.0,T_190909_5_2
2859,0.0,T_190909_6_1
2865,3.0,T_190909_9_1_M
2900,1.0,T_190924_0_1
2914,2.0,T_190924_7_1
2932,0.0,T_190924_19_1
2939,1.0,T_190924_25_1_M
2942,0.0,T_190924_29_1
2954,1.0,T_190924_38_3
2979,3.0,T_191007_17_1
3000,0.0,T_191011_1_1
3006,2.0,T_191011_8_1
3007,2.0,T_191016_0_1_M
3012,2.0,T_191016_3_3
3017,2.0,T_191016_6_1
3034,3.0,T_191115_3_5
3050,4.0,T_191119_8_2
3059,4.0,T_191128_7_2
3071,4.0,T_191204_2_1
3080,3.0,T_191212_0_3
3081,0.0,T_191212_1_3
3096,2.0,T_191213_6_1
3107,1.0,T_200107_3_1
3108,4.0,T_200107_6_1
3109,3.0,T_200107_7_1
3119,0.0,T_200115_15_1
3120,3.0,T_200115_16_1
3127,3.0,T_200120_0_5
3129,3.0,T_200120_2_1
3131,2.0,T_200120_3_1
3135,3.0,T_200120_7_2
3137,1.0,T_200120_9_2
3139,3.0,T_200120_9_4
3142,4.0,T_200120_10_2
3143,2.0,T_200120_10_3
3154,1.0,T_200120_18_1
3155,1.0,T_200120_19_1
3156,3.0,T_200120_20_1
